"Time (ps)"	"Count rate (counts/s), channel 1"	"Count rate (counts/s), channel 2"	"Frequency (Hz), channel 1"	"Frequency (Hz), channel 2"
254360000000000	91150	84150	90996.285660338792	84367.55723885716
254380000000000	91100	83850	91142.172479201894	84132.576545555508
254400000000000	91050	84450	91105.237572374172	84188.861603598823
254420000000000	91000	84200	90911.7790663302	84106.093627275506
254440000000000	90950	84500	91057.843286492542	84487.495641747315
254460000000000	90950	83650	91000.46235173037	84092.636843885266
254480000000000	91200	83900	91064.44750231113	83841.723479400782
254500000000000	91000	84500	91146.065991608746	84250.916218361264
254520000000000	91000	84500	91127.952096253459	84418.073014090769
254540000000000	90900	84200	90793.061136228556	84398.453344192312
254560000000000	90950	84750	90877.120492076239	84588.190376024257
254580000000000	91200	85050	91049.455412093856	84790.476742593484
254600000000000	91050	84900	91177.710532768906	84936.516352503866
254620000000000	91000	84150	90974.720337447856	84652.060146363438
254640000000000	91100	84450	91090.790372411793	84126.719201858039
254660000000000	91000	84200	91020.353156219047	84338.809965743421
254680000000000	90900	83900	90969.915152941103	83937.963696573352
254700000000000	91000	84200	90965.301022480417	84009.257480014348
254720000000000	90950	84500	90965.945594569712	84442.465879396797
254740000000000	90900	84550	91002.493587898003	84575.021484565543
254760000000000	90600	84700	90729.604781054717	84655.715133846505
254780000000000	90650	84150	90605.616116566045	84582.565007344107
254800000000000	91100	84200	90907.559695394273	83982.3154350361
254820000000000	91100	84600	91028.922165123789	84405.204397625668
254840000000000	90900	84750	91028.430810547929	84745.407285102177
254860000000000	90800	84500	90787.260814509427	84656.953053624369
254880000000000	91150	84850	90905.757621331621	84585.084619571731
254900000000000	91150	84450	91151.091457907562	84551.253785243243
254920000000000	90850	84050	91144.83341039982	84420.069570510095
254940000000000	90950	84550	90836.546917274449	84102.21008992201
254960000000000	90950	84250	90859.271940417704	84512.905390750253
254980000000000	91050	84250	91083.352479460838	84117.422774164908
255000000000000	90900	84850	91029.666913759385	84803.920432657935
255020000000000	91100	84600	91007.551159347655	84779.925856543341
255040000000000	91250	84250	91193.087238363005	84261.498442079857
255060000000000	90850	84250	91096.390872868986	84348.919264891112
255080000000000	90850	84550	90786.81177600089	84330.31440067396
255100000000000	90950	84450	90934.278083957513	84578.109439277774
255120000000000	90900	84450	90963.384125378216	84463.806107353012
255140000000000	91100	84250	90862.596908937048	84235.010752174348
255160000000000	90950	84400	91066.349851590378	84152.663554527433
255180000000000	91050	84300	90922.888470973499	84453.454924218677
255200000000000	90950	84550	91013.617080899523	84375.489689044029
255220000000000	91000	83950	90962.907335806012	84246.753461110013
255240000000000	91000	84200	91048.421449930218	84027.368710313414
255260000000000	91250	84100	91115.084506243118	84417.246460978771
255280000000000	91050	84300	91195.357543409278	84310.741063531052
255300000000000	90950	85050	91051.416861549733	84444.632165546675
255320000000000	91000	84550	91020.406015399465	84900.02689108724
255340000000000	91350	84600	91163.369839604726	84609.056694024053
255360000000000	91150	84600	91126.904891938306	84588.670660261545
255380000000000	91000	84450	91075.303136543938	84368.183694408232
255400000000000	90750	84050	90890.782296213176	84469.553707811603
255420000000000	91050	84650	90848.552888265549	84152.302214242256
255440000000000	91100	84200	91097.149088052262	84370.337524376926
255460000000000	90800	84800	90919.110256065542	84504.754633577802
255480000000000	90750	84650	90831.84188859757	84805.682643244261
255500000000000	90850	84550	90857.29968537511	84757.795752939608
255520000000000	91100	83750	91011.2571929884	83856.511478355693
255540000000000	91100	84050	90996.436768860352	83983.391926488053
255560000000000	90800	84700	90938.67736445622	84521.24210447559
255580000000000	91250	84200	91058.839998123207	84287.714894371558
255600000000000	91000	84050	91195.2080882398	84123.938190523433
255620000000000	91000	84400	91002.381413932992	84234.994788507262
255640000000000	91150	84300	91108.402969418137	84365.026060320481
255660000000000	90850	84500	90934.583870801478	84341.189200057153
255680000000000	90900	84250	90910.365374466011	84318.383239362782
255700000000000	91150	84500	90890.561700942257	84448.317249417378
255720000000000	90850	84200	91007.171503867692	84281.292063068904
255740000000000	91000	84250	91012.177746448564	84268.316864634282
255760000000000	91250	84650	91011.080641057313	84525.760668323303
255780000000000	91250	84500	91303.184228592232	84629.685982601441
255800000000000	91000	84900	91200.617867769281	84552.647335462025
255820000000000	91150	84450	91039.027784454127	84773.083812737779
255840000000000	90850	84350	90984.116422249237	84627.599474791088
255860000000000	91250	84200	91149.703106675108	84121.469311739114
255880000000000	91150	84450	91150.099940132844	84260.81627039946
255900000000000	90950	84300	91076.04046190581	84365.128622932054
255920000000000	91200	84600	91011.079444552262	84409.865298655335
255940000000000	90900	84050	91005.67429364656	84259.023295619816
255960000000000	91050	84700	90980.60069396047	84355.449865932853
255980000000000	90850	84000	91000.397762421242	84481.17671350023
256000000000000	91150	84900	90886.990896472867	84398.911110175555
256020000000000	90550	84650	90833.443710213236	84846.798507944652
256040000000000	91050	84700	90958.10647431793	84806.35570074321
256060000000000	91300	84050	91211.127328692295	84227.987786258775
256080000000000	90800	85000	90974.856332901385	84384.133709690082
256100000000000	91000	84700	90846.19856774385	84969.067001265881
256120000000000	91100	84650	91179.525346599883	84757.999624830685
256140000000000	90850	84300	90928.906947550131	84510.398901578461
256160000000000	91200	85000	90928.210595907469	84698.384084357633
256180000000000	91000	84350	91148.630660846655	84639.059720573612
256200000000000	91200	85050	91182.278991317828	84517.877283581634
256220000000000	91200	84350	91071.11487578103	84618.081638317322
256240000000000	91200	84950	91174.50730942066	84722.574447461928
256260000000000	91150	84750	91204.167097326485	84876.783403549925
256280000000000	91250	84200	91204.10604574476	84470.459315387809
256300000000000	91000	84050	91139.764118019899	84153.353686206246
256320000000000	90800	84300	90916.321713155601	84166.092152958649
256340000000000	91000	84700	91002.434821900097	84628.826691301962
256360000000000	91050	84100	90937.181017945826	84523.472714358402
256380000000000	91150	84450	91185.743843419346	84098.946861193705
256400000000000	91050	84350	91156.47524363242	84498.26393213062
256420000000000	91000	84900	90870.417826994963	84566.710413670851
256440000000000	91050	84250	91044.823792461146	84535.243621213027
256460000000000	91200	84050	91117.114911918805	84127.127004812137
256480000000000	91100	84750	91204.977222214045	84299.477323418905
256500000000000	90750	84500	90830.674766307333	84532.762732636518
256520000000000	90950	84500	90775.951428410117	84660.186158060111
256540000000000	91100	84500	91079.159457138157	84459.76443464504
256560000000000	90900	84550	91053.713031423642	84659.840119852146
256580000000000	90800	84500	90924.834103422836	84727.032764194708
256600000000000	91100	84050	90962.910607127516	84062.595692915143
256620000000000	91400	84800	91127.826648106799	84445.21807482696
256640000000000	90700	84350	91100.319276122013	84656.850598252466
256660000000000	91050	84800	90914.353558839895	84565.804839088072
256680000000000	91100	84300	91051.293934537898	84434.854861838365
256700000000000	91100	84950	91075.275814726687	84631.472759467812
256720000000000	91100	84300	90980.329643826626	84511.833196380641
256740000000000	91050	84200	91189.659275059108	84324.929991085053
256760000000000	91000	84550	90940.28109856302	84348.204857846082
256780000000000	90850	84700	90902.551082378777	84503.300346133023
256800000000000	91150	84750	91078.64138850171	84940.959200131765
256820000000000	91100	84300	91151.14501908992	84332.795915430674
256840000000000	91000	84250	91002.648813319829	84260.325415629122
256860000000000	90950	84650	91050.93378524961	84631.650828333426
256880000000000	91150	84750	91039.968253226878	84831.337921647966
256900000000000	91050	84600	91055.991910091849	84528.091535092943
256920000000000	91000	84550	91108.161646140696	84602.618070686251
256940000000000	90900	84450	90923.195733820758	84503.887127481677
256960000000000	91350	84550	91140.732954745094	84477.035963629198
256980000000000	91150	84400	91176.092154801561	84384.051787585384
257000000000000	90800	84350	91029.399737196087	84531.666420187641
257020000000000	90900	84350	90786.968285988303	84193.565759492456
257040000000000	91100	84900	91006.844092627143	84547.492009978581
257060000000000	91100	84200	91085.982102317954	84511.576631885502
257080000000000	91200	84400	91187.771904610505	84442.901652110522
257100000000000	91000	84350	91088.986242543077	84492.579819683218
257120000000000	91100	84250	91135.814117644433	84197.152764220227
257140000000000	90900	84200	91020.470557936249	84358.202309818647
257160000000000	91050	84750	90933.368098227045	84422.757924705569
257180000000000	91000	84450	91078.992868113142	84491.207710651463
257200000000000	91050	85150	90922.411884523419	84890.621827536452
257220000000000	91150	85100	91056.078430284033	85098.050479236204
257240000000000	91000	84650	91119.534576306411	84786.378855091054
257260000000000	90850	84950	90866.067695588878	84906.695351426722
257280000000000	91000	84850	90955.685966080709	84689.54670159638
257300000000000	91200	85000	91059.681310495449	85094.289489447634
257320000000000	90800	84750	90955.432035753984	84773.583856224635
257340000000000	91050	84700	91001.265064819352	84904.034635279488
257360000000000	91100	84650	91080.356811967489	84638.430540177418
257380000000000	91400	84300	91315.008117679841	84454.338095706189
257400000000000	91050	84700	91215.282008909562	84568.605448477523
257420000000000	91000	84650	91065.933972288898	84780.492689771301
257440000000000	91200	84800	91209.204002319471	84691.714659056772
257460000000000	90950	84850	90958.149149194898	84628.273504040262
257480000000000	90950	85050	91009.247607197336	85103.975781286368
257500000000000	91050	84150	90972.457930407079	84511.24908543365
257520000000000	91050	84700	91006.397082850614	84341.748609870599
257540000000000	91250	84250	91146.309978485893	84543.970907383555
257560000000000	91100	84300	91050.763860456529	84288.071020646297
257580000000000	90800	84900	90991.738455932427	84529.840755196637
257600000000000	90900	84400	90862.330101788029	84635.509999514616
257620000000000	91200	84200	91076.301641198806	84334.061489781045
257640000000000	90850	84400	90985.007832257208	84267.122885383331
257660000000000	90850	84200	90922.344348953135	84249.840123615228
257680000000000	91050	84450	90924.022538058824	84539.623009259565
257700000000000	91150	84400	91201.650302277136	84415.829320018456
257720000000000	90850	84400	90968.541096344503	84402.113681842791
257740000000000	90850	84400	90827.003258667464	84298.259821851039
257760000000000	91000	84600	91023.893300192183	84501.581799904525
257780000000000	91150	84300	90964.429826559703	84417.226685668662
257800000000000	91250	84100	91118.396289501528	84282.258142556821
257820000000000	91450	84950	91410.738755646293	84445.236281231846
257840000000000	91200	85050	91256.605172686119	84883.919637825646
257860000000000	91200	84200	91224.055785128585	84817.186728311892
257880000000000	91100	84350	91185.036694654555	84205.914058161201
257900000000000	90950	84700	90980.276752203688	84583.26766929726
257920000000000	91100	84500	91077.146645518515	84532.032281024833
257940000000000	91100	84550	91174.723841008643	84657.163162717159
257960000000000	90900	84600	90894.764872610845	84593.571620125003
257980000000000	91100	84500	91063.032419649418	84655.018889258004
258000000000000	91300	84750	91177.211566431259	84386.791433445062
258020000000000	91150	84550	91161.04458917251	84628.589053135176
258040000000000	91000	84450	91145.445449249455	84528.216584061767
258060000000000	91050	84900	90917.785232116817	84830.856204322365
258080000000000	91200	84600	91096.775613062695	84544.13635889857
258100000000000	90850	83950	91020.450834237869	84279.919740918092
258120000000000	91250	84450	91109.756980923761	84099.660927404359
258140000000000	91000	84100	91158.875977769931	84221.624443561945
258160000000000	90800	84500	90810.202545281471	84495.996333557225
258180000000000	91100	84500	91076.979779872563	84439.993265736601
258200000000000	90600	84350	90872.583532844947	84501.751371344944
258220000000000	91200	84350	90876.520482579945	84183.066628004628
258240000000000	91000	84550	91171.943814531885	84772.115093503497
258260000000000	91000	84750	90979.380132762133	84764.245033457992
258280000000000	91050	84500	90992.192606100041	84312.82255449002
258300000000000	90950	84200	90981.807850131561	84395.5915765135
258320000000000	91300	84700	91033.335027513211	84401.100922706872
258340000000000	91200	84300	91304.011533922574	84465.605394521612
